Pelabuhan,Negara,2013,2012,2011,2010,2009,2008,2007,2006
Shanghai,Tiongkok,33617,32529,31700,29069,25002,27980,26150,21710
Singapore,Singapura,32240,31649,29937,28431,25866,29918,27932,24792
HongKong,HongKong,22352,23117,24384,23532,20983,24248,23881,23539
Shenzhen,Tiongkok,23280,22940,22570,22510,18250,21414,21099,18469
Busan,KoreaSelatan,17690,17046,16185,14157,11954,13425,13270,12039
Ningbo-Zhoushan,Tiongkok,17351,16670,14686,13144,10502,11226,9349,7068
Guangzhou,Tiongkok,15309,14744,14400,12550,11190,11001,9200,6600
Qingdao,Tiongkok,15520,14503,13020,12012,10260,10320,9462,7702
JebelAli,UniEmiratArab,13641,13270,13000,11600,11124,11827,10653,8923
Rotterdam,Belanda,11621,11866,11877,11146,9743,10784,10791,9655
Tianjin,Tiongkok,13010,12300,11500,10080,8700,8500,7103,5950
Kaohsiung,RepublikTiongkok,9938,9781,9636,8872,8581,9677,10257,9775
PortKlang,Malaysia,10350,10000,9604,8870,7309,7970,7120,6326
Hamburg,Jerman,9302,8864,9022,7900,7007,9737,9890,8862
Antwerpen,Belgia,8578,8635,8664,8468,7309,8663,8176,7019
LosAngeles,AmerikaSerikat,7869,8078,7941,7832,6748,7850,8355,8470
TanjungPelepas,Malaysia,7628,7700,7500,6530,6000,5600,5500,4770
Xiamen,Tiongkok,8010,7202,6461,5820,4680,5035,4627,4019
Dalian,Tiongkok,10860,8060,6400,5242,4552,4503,4574,3212
LongBeach,AmerikaSerikat,6731,6046,6061,6263,5067,6350,7316,7289
Bremen,Jerman,5831,6115,5915,4871,4578,5529,4912,4450
LaemChabang,Thailand,6032,5830,5731,5068,4538,5134,4642,4123
TanjungPriok,Indonesia,6590,6200,5618,4715,3800,3984,3900,3280
NewYorkandNewJersey,AmerikaSerikat,5467,5530,5503,5292,4561,5265,5299,5093
Lianyungang,Tiongkok,5490,5020,4850,3870,3021,3001,2001,1302
HoChiMinhCity(Saigon),Vietnam,5542,5060,4674,4100,3563,3100,2532,2532
Tokyo,Jepang,4861,4752,4640,4286,3810,4271,3818,3969
Valencia,Spanyol,4328,4470,4327,4207,3653,3593,3043,2612
PortSaid,Mesir,4100,3631,4272,3646,3300,3202,2127,2127
Colombo,SriLanka,4306,4180,4263,4137,3464,3687,3380,3079
Mumbai,India,4162,4260,4217,3857,4061,3953,4060,3298
Yingkou,Tiongkok,5301,4851,4033,3338,2537,2030,1371,838
Jeddah,ArabSaudi,4561,4738,4010,3830,3091,3326,3068,2964
Algeciras,Spanyol,4501,4114,3603,2810,3042,3324,3152,3257
Felixstowe,BritaniaRaya,3740,3700,3519,3400,3100,3200,3300,3000
Manila,Filipina,3770,3705,3250,3257,2815,2977,2800,2638
Balboa,Panama,3064,3251,3232,2759,2012,2011,2167,988
KhorFakkan,UniEmiratArab,3800,3996,3230,3023,2750,2112,1850,1730
Salalah,Oman,3340,3620,3201,3482,3490,3068,2600,2390
Yokohama,Jepang,2888,3053,3083,3280,2555,3490,3400,3200
Taicang,Tiongkok,3267,4015,3058,2212,,,,
Santos,Brasil,3446,3172,2985,2716,2252,2675,2533,2208
Savannah,AmerikaSerikat,3034,2966,2945,2825,2356,2616,2604,2160
Ambarli,Turki,3378,3097,2686,2540,,,,
TanjungPerak,Indonesia,3001,2849,2644,3030,,,,
Nagoya,Jepang,2709,2655,2623,2549,2113,2817,2890,2740
Vancouver,Kanada,2825,2713,2551,2514,2492,2307,2208,1767
Malta,Malta,2750,2540,2360,2371,,,,
GioiaTauro,Italia,3087,2721,2305,2851,2857,3468,3445,2900
Colon,Panama,3356,2060,1900,1600,2802,1856,2262,
Piraeus,Yunani,3164,2745,1680,1198,665,434,1373,
